Alpha,Error
1.00000000000e+01,8.79384544822e-01
1.00000000000e+02,6.39306509796e-01
1.00000000000e+03,6.68415626900e-01
2.00000000000e+03,4.65182103638e-01
3.00000000000e+03,4.67138589116e-01
4.00000000000e+03,4.80572894421e-01
5.00000000000e+03,4.61859350704e-01
6.00000000000e+03,5.53428174688e-01
7.00000000000e+03,5.35294523269e-01
8.00000000000e+03,5.52290729120e-01
1.00000000000e+04,1.00380443508e+00
1.00000000000e+05,7.75592539892e-01
1.00000000000e+06,1.21233378805e+00
